ID_CLIENT,CLERK_TYPE,PAYMENT_DAY,APPLICATION_SUBMISSION_TYPE,QUANT_ADDITIONAL_CARDS,POSTAL_ADDRESS_TYPE,SEX,MARITAL_STATUS,QUANT_DEPENDANTS,EDUCATION_LEVEL,STATE_OF_BIRTH,CITY_OF_BIRTH,NACIONALITY,RESIDENCIAL_STATE,RESIDENCIAL_CITY,RESIDENCIAL_BOROUGH,FLAG_RESIDENCIAL_PHONE,RESIDENCIAL_PHONE_AREA_CODE,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_MOBILE_PHONE,FLAG_EMAIL,PERSONAL_MONTHLY_INCOME,OTHER_INCOMES,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OTHER_CARDS,QUANT_BANKING_ACCOUNTS,QUANT_SPECIAL_BANKING_ACCOUNTS,PERSONAL_ASSETS_VALUE,QUANT_CARS,COMPANY,PROFESSIONAL_STATE,PROFESSIONAL_CITY,PROFESSIONAL_BOROUGH,FLAG_PROFESSIONAL_PHONE,PROFESSIONAL_PHONE_AREA_CODE,MONTHS_IN_THE_JOB,PROFESSION_CODE,OCCUPATION_TYPE,MATE_PROFESSION_CODE,MATE_EDUCATION_LEVEL,FLAG_HOME_ADDRESS_DOCUMENT,FLAG_RG,FLAG_CPF,FLAG_INCOME_PROOF,PRODUCT,FLAG_ACSP_RECORD,AGE,RESIDENCIAL_ZIP_3,PROFESSIONAL_ZIP_3
70011,C,20,Web,,1,F,1.0,2,4,PA,SANTAREM,1.0,RR,BOA VISTA,JARDIM CARANA,Y,122,1.0,3.0,N,0.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,RR,BOA VISTA,CAIMBE,Y,122,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,25.0,693,693.0
70012,C,10,Web,1.0,1,F,1.0,0,1,PB,mari,1.0,PB,mari,centro,Y,103,,,N,0.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,2,,,,0.0,0.0,0.0,0.0,2.0,N,26.0,583,583.0
70013,C,20,Web,,1,F,2.0,0,3,RJ,rio de janeiro,1.0,RJ,Sao Goncalo,Sete Pontes,Y,20,1.0,1.0,Y,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,1.0,,,0.0,0.0,0.0,0.0,1.0,Y,53.0,244,244.0
70014,C,5,Web,1.0,1,M,2.0,2,3,AL,SAO MIGUEL DOS CAMPOS,1.0,AL,SAO MIGUEL DOS CAMPOS,DE FATIMA,N, ,1.0,1.0,N,0.0,378.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,4.0,,,0.0,0.0,0.0,0.0,1.0,N,33.0,572,572.0
70015,C,15,Web,,1,F,1.0,0,3,SP,bilac,1.0,SP,birigui,thereza m barbiere,Y,16,1.0,6.0,N,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,2,,,,0.0,0.0,0.0,0.0,1.0,N,34.0,162,162.0
70016,C,5,Web,,1,F,2.0,0,4,PI,CARTELO DO PMAUI,1.0,PI,TERESINA,PARQUE PIAUI,Y,110,1.0,,Y,0.0,1206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,Y,60.0,640,640.0
70017,C,20,Web,,1,F,2.0,0,1,CE,Crato,1.0,CE,Juazeiro Do Norte,Franciscanos,Y,112,1.0,15.0,N,0.0,527.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,CE,Juazeiro do Norte,Centro,Y,112,0.0,9,5.0,,,0.0,0.0,0.0,0.0,1.0,Y,50.0,630,630.0
70018,C,15,Web,,1,M,1.0,0,4,PE,recife,1.0,PE,Recife,Curado,Y,97,2.0,1.0,Y,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,2,4.0,,,0.0,0.0,0.0,0.0,2.0,N,21.0,509,509.0
70019,C,5,Web,,1,F,2.0,0,2,PR,FAXINAL,1.0,TO,ARAGUACU,AEROPORTO,N, ,1.0,3.0,Y,0.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,2,2.0,,,0.0,0.0,0.0,0.0,2.0,N,40.0,774,774.0
70020,C,10,Web,,1,M,2.0,1,4,BA,feira de santana,1.0,BA,feira de santana,campo limpo,Y,86,1.0,,N,0.0,1112.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,N, ,,,N, ,0.0,2,4.0,,,0.0,0.0,0.0,0.0,1.0,N,31.0,440,440.0
70021,C,15,Web,,1,M,1.0,0,2,MT,CUIABA,1.0,MT,Varzea Grande,Mapim,Y,71,1.0,9.0,N,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y, ,,,Y,71,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,34.0,781,781.0
70022,C,10,Web,,1,F,4.0,1,4,RS,SAO LEOPOLDO,1.0,RS,Sao Leopoldo,Rio Branco,Y,54,1.0,10.0,N,0.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,0.0,Y, ,,,N, ,0.0,9,1.0,,,0.0,0.0,0.0,0.0,1.0,N,47.0,930,930.0
70023,C,10,Web,,1,F,2.0,0,4,PI,BOM JESUS,1.0,PI,FLORIANO,CATUMBI,Y,114,1.0,8.0,N,0.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,Y,114,0.0,10,2.0,,,0.0,0.0,0.0,0.0,1.0,N,33.0,648,648.0
70024,C,20,Web,,1,M,1.0,0,2,RN,LAGES,1.0,RN,Parnamirim,Parque de Exposicoes,Y,105,1.0,,Y,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,5.0,,,0.0,0.0,0.0,0.0,1.0,N,35.0,591,591.0
70025,C,10,Web,,1,M,2.0,0,2,MG,belo horizonte,1.0,SP,Itapecerica da Serra,Jardim Analandia,Y,5,1.0,1.0,N,0.0,1434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,,,,0.0,0.0,0.0,0.0,1.0,N,35.0,686,686.0
70026,C,10,Web,,1,M,1.0,0,3,AM,manicore,1.0,RO,porto velho,escola de policia,Y,77,1.0,4.0,N,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,RO,Porto Velho,Nova Porto Velho,N, ,0.0,13,2.0,,,0.0,0.0,0.0,0.0,1.0,Y,40.0,768,768.0
70027,C,5,Web,,1,F,2.0,0,4,MG,CLAUDIO,1.0,MG,CLAUDIO,NOVO MUNDO,Y,38,2.0,2.0,Y,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,MG,CLAUDIO,CENTRO,N, ,0.0,9,2.0,,,0.0,0.0,0.0,0.0,2.0,Y,25.0,355,355.0
70028,C,20,Web,,1,F,1.0,1,2,SP,SAO PAULO,1.0,SP,GUARULHOS,PICANCO,Y,5,1.0,51.0,Y,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y, ,,,N, ,0.0,9,,,,0.0,0.0,0.0,0.0,1.0,N,52.0,709,709.0
70029,C,1,Web,,1,M,1.0,1,3,BA,CAMPO FORMOSO,1.0,BA,JUAZEIRO,QUIDE,Y,85,1.0,4.0,Y,0.0,497.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,BA,Juazeiro,Zona Rural,Y,85,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,36.0,489,489.0
70030,C,25,Web,,1,F,1.0,0,3,SP,SAO PAULO,1.0,SP,Sao Paulo,Vila Calu,Y,5,1.0,9.0,N,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,2,,,,0.0,0.0,0.0,0.0,1.0,N,31.0,496,496.0
70031,C,5,Web,,1,M,1.0,0,4,PR,MOREIRA SALES,1.0,PR,FAZENDA RIO GRANDE,IGUACU I,Y,40,1.0,9.0,N,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,Y,PR,CURITIBA,CENTRO,Y,40,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,19.0,838,838.0
70032,C,20,Web,,1,F,3.0,5,3,CE,FORTALEZA,1.0,CE,FORTALEZA,MONTESE,N, ,4.0,5.0,N,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,CE,FORTALEZA,MONTESE,Y,107,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,47.0,600,600.0
70033,C,15,Web,,1,F,4.0,0,2,PI,SANTA LUZ,1.0,DF,SOBRADINHO,SOBRADINHO,Y,66,2.0,1.0,Y,0.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,,,,0.0,0.0,0.0,0.0,1.0,N,59.0,730,730.0
70034,C,25,Web,,1,F,2.0,0,2,MG,MIRABELA,1.0,MG,UBERLANDIA,MORUMBI,Y,32,1.0,12.0,Y,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y, ,,,N, ,0.0,2,4.0,,,0.0,0.0,0.0,0.0,1.0,N,48.0,384,384.0
70035,C,20,Carga,,1,M,2.0,3,4,MT,CUIABA,1.0,MT,CUIABA,PEDRA,N, ,1.0,1.0,N,0.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,MT,CUIABA,DIST INDUSTRIAL,Y,71,0.0,11,2.0,11.0,,0.0,0.0,0.0,0.0,1.0,N,32.0,780,780.0
70036,C,25,Web,,1,M,2.0,0,4,AL,MACEIO,1.0,AL,MACEIO,TRAPICHE DA BARRA,N, ,1.0,2.0,N,0.0,1061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,1.0,,,0.0,0.0,0.0,0.0,1.0,Y,67.0,570,570.0
70037,C,10,Web,,1,F,1.0,0,4,SP,PINDAMONHANGABA,1.0,SP,Pindamonhangaba,Loteamento Residencial Andrade,Y,9,1.0,10.0,N,0.0,447.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,4.0,,,0.0,0.0,0.0,0.0,1.0,Y,25.0,124,124.0
70038,C,5,Carga,,1,F,2.0,0,3,CE,fortaleza,1.0,CE,FORTALEZA,MESSEJANA,Y,107,2.0,1.0,N,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,11,4.0,11.0,,0.0,0.0,0.0,0.0,1.0,N,56.0,608,608.0
70039,C,15,Web,,1,F,1.0,0,2,BA,GANDU,1.0,BA,GANDU,TEOTONIO CALHEIRA,Y,84,1.0,20.0,N,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,2.0,,,0.0,0.0,0.0,0.0,2.0,N,20.0,454,454.0
70040,C,5,Web,,1,M,1.0,0,4,MA,MONCAO,1.0,DF,Ceilandia,Ceilandia Sul,Y,66,2.0,1.0,N,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,DF, , ,Y,5,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,21.0,722,722.0
70041,C,20,Web,,1,F,2.0,0,4,PR,cianorte,1.0,PR,cianorte,universidade,Y,44,1.0,,N,1.0,507.46,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,PR,cianorte,centro,Y,44,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,Y,35.0,872,872.0
70042,C,20,Web,,1,F,2.0,0,3,BA,ALAGOINHAS,1.0,BA,Salvador,Engenho Velho de Brotas,Y,81,1.0,20.0,N,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y, ,,,N, ,0.0,2,4.0,,,0.0,0.0,0.0,0.0,1.0,N,57.0,402,402.0
70043,C,15,Web,,1,F,2.0,0,4,MG,uberlandia,1.0,MG,Uberlandia,Canaa,Y,32,1.0,,N,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,4.0,,,0.0,0.0,0.0,0.0,1.0,N,39.0,384,384.0
70044,C,10,Web,,1,M,1.0,0,3,RR,BOA VISTA,1.0,RR,BOA VISTA,PARAVIANA,N, ,5.0,10.0,N,0.0,542.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,33.0,693,693.0
70045,C,5,Web,,1,F,2.0,2,4,RS,SAO GABRIEL,1.0,RS,CAXIAS DO SUL,DESVIO RIZZO,N, ,2.0,,N,0.0,1023.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y, ,,,N, ,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,38.0,951,951.0
70046,C,25,Web,,1,M,2.0,1,4,RS,pelotas,1.0,RS,Pelotas,Porto,Y,58,1.0,12.0,Y,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,1.0,,,0.0,0.0,0.0,0.0,1.0,N,57.0,960,960.0
70047,C,5,Web,,1,M,1.0,0,4,SP,MOGI DAS CRUZES,1.0,SP,SANTA ISABEL,VILA OSIRIS,Y,5,1.0,,N,0.0,1026.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,26.0,750,750.0
70048,C,5,Web,,1,F,2.0,0,4,SP,GUARULHOS,1.0,SP,Guarulhos,Jardim Jade,Y,5,1.0,25.0,N,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y, ,,,N, ,0.0,9,,,,0.0,0.0,0.0,0.0,1.0,N,47.0,716,716.0
70049,C,5,Web,,1,M,1.0,0,3,BA,sta luzia,1.0,BA,eunapolis,itapoa,N, ,1.0,2.0,N,0.0,521.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,BA,eunapolis,moiseis reis,Y,84,0.0,9,5.0,,,0.0,0.0,0.0,0.0,2.0,Y,26.0,458,458.0
70050,C,5,Web,,1,M,2.0,0,4,SP,SANTA ISABEL,1.0,SP,ARUJA,VILA FERREIRA,Y,5,1.0,,N,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,30.0,740,740.0
70051,C,10,Web,,1,F,5.0,0,1,ES,CASTELO,1.0,ES,CASTELO,CENTRO,N, ,2.0,0.0,N,0.0,1465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,ES,CASTELO,CENTRO,Y,27,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,40.0,293,293.0
70052,C,10,Web,,1,F,1.0,0,4,PI,TERESINA,1.0,PI,Teresina,Monte Castelo,Y,110,1.0,2.0,N,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,3.0,,,0.0,0.0,0.0,0.0,1.0,N,19.0,640,640.0
70053,C,15,Web,1.0,1,F,2.0,0,4,MG,TUPACIGUARA,1.0,MG,Uberlandia,Centro,Y,32,1.0,4.0,Y,0.0,2106.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,2,4.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,N,69.0,384,384.0
70054,C,10,Web,,1,M,2.0,0,3,AL,PALESTINA,1.0,AL,OLHO DAGUA DAS FLORES,CONJUNTO SANTO ANTONIO,N, ,1.0,10.0,N,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,,,,0.0,0.0,0.0,0.0,1.0,N,54.0,574,574.0
70055,C,1,Carga,,1,F,2.0,0,2,PA,BELEM,1.0,PA,BELEM,NAZARE,Y,117,3.0,1.0,N,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Y,PA,BELEM,UMARIZAL,Y,117,0.0,8,3.0,11.0,,0.0,0.0,0.0,0.0,1.0,N,43.0,660,660.0
70056,C,15,Web,,1,F,2.0,2,3,PR,SANTA MARIANA,1.0,PR,PARANAGUA,OURO FINO,Y,40,1.0,2.0,N,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,4.0,,,0.0,0.0,0.0,0.0,1.0,N,36.0,832,832.0
70057,C,25,Web,,1,F,2.0,0,2,SP,BATATAIS,1.0,SP,BATATAIS,RIACHUELO,Y,14,1.0,30.0,Y,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,2,5.0,,,0.0,0.0,0.0,0.0,1.0,Y,47.0,143,143.0
70058,C,15,Web,,1,M,1.0,0,2,MT,CUIABA,1.0,MT,VARZEA GRANDE,Jardim MARINGA,Y,71,1.0,1.0,N,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,2,4.0,,,0.0,0.0,0.0,0.0,1.0,N,27.0,781,781.0
70059,C,15,Web,,1,M,1.0,2,2,ES,ECOPORANGA,1.0,RO,ROLIM DE MOURA,SAO CRISTOVAO,N, ,1.0,2.0,N,0.0,1679.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Y, ,,,Y,77,1.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,32.0,789,789.0
70060,C,20,Web,,1,F,1.0,0,4,RN,RUY BARBOSA,1.0,MG,Ituiutaba,Santa Maria,Y,32,1.0,1.0,N,0.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y, ,,,N, ,0.0,9,5.0,,,0.0,0.0,0.0,0.0,1.0,N,36.0,383,383.0
70061,C,15,Web,,1,M,1.0,1,2,MA,SANTA LUZIA,1.0,MT,SINOP,JD DAS OLIVEIRAS,Y,73,1.0,10.0,N,0.0,414.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,MT,SINOP,ALTO DA GLORIA,Y,73,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,34.0,785,785.0
70062,C,10,Web,,1,F,1.0,0,3,BA,BAIXA GRANDE,1.0,SE,UMBAUBA,centro,N, ,1.0,9.0,N,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,4.0,,,0.0,0.0,0.0,0.0,1.0,N,27.0,492,492.0
70063,C,25,Web,,1,F,2.0,0,4,CE,caninde,1.0,CE,Maracanau,jereissate,N, ,1.0,20.0,N,0.0,403.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,CE,Maracanau,Novo Maracanau,N, ,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,44.0,619,619.0
70064,C,20,Web,,1,F,1.0,4,3,ES,VILA VELHA,1.0,ES,VILA VELHA,JOAO GOULART,Y,25,1.0,6.0,N,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,4.0,,,0.0,0.0,0.0,0.0,2.0,Y,30.0,291,291.0
70065,C,10,Web,,1,F,1.0,0,2,BA,ITABUNA,1.0,BA,EUNAPOLIS,PEQUI,Y,84,1.0,10.0,Y,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,1.0,,,1.0,1.0,1.0,1.0,2.0,N,51.0,458,458.0
70066,C,15,Web,,1,M,1.0,2,2,RS,LIVRAMENTO,1.0,RS,Porto Alegre,Restinga velha,N, ,1.0,1.0,N,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y, ,,,N, ,0.0,9,4.0,,,0.0,0.0,0.0,0.0,1.0,N,34.0,917,917.0
70067,C,10,Web,,1,M,2.0,0,4,RN,NATAL,1.0,RN,Parnamirim,Jardim Planalto,Y,105,1.0,,Y,0.0,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,5.0,,,0.0,0.0,0.0,0.0,1.0,N,28.0,591,591.0
70068,C,25,Carga,,1,M,3.0,0,3,PE,IPOJUCA,1.0,PE,IPOJUCA,CAMELA,Y,97,1.0,1.0,N,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,1.0,11.0,,0.0,0.0,0.0,0.0,1.0,N,59.0,555,555.0
70069,C,5,Web,,1,F,1.0,1,1,SP,brasileira,1.0,SP,Barueri,Vila Engenho Novo,Y,5,1.0,17.0,N,0.0,1792.28,975.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N, ,,,N, ,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,29.0,641,641.0
70070,C,25,Web,1.0,1,M,2.0,0,2,RN,natal,1.0,RN,natal,alecri m,Y,105,1.0,37.0,N,0.0,175.0,175.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y, ,,,N, ,0.0,9,2.0,,,0.0,0.0,0.0,0.0,1.0,N,37.0,590,590.0
